case,joint,joint_id,delay_steps,delay_s,eig_index,eig_real,eig_imag,eig_abs,eig_angle_rad
B,Knee,2,2,0.004,7,0.13071216247522385,0.0,0.13071216247522385,0.0
B,Knee,2,2,0.004,8,1.683491191319027e-14,7.616041736788247e-08,7.616041736788433e-08,1.5707961057494704
B,Knee,2,2,0.004,9,1.683491191319027e-14,-7.616041736788247e-08,7.616041736788433e-08,-1.5707961057494704
B,Knee,2,5,0.01,0,0.9525868562080744,0.07339306168387538,0.9554099958257272,0.07689414726733486
B,Knee,2,5,0.01,1,0.9525868562080744,-0.07339306168387538,0.9554099958257272,-0.07689414726733486
B,Knee,2,5,0.01,2,0.9252149618366117,0.0,0.9252149618366117,0.0
B,Knee,2,5,0.01,3,0.3662868489621738,0.42141981259919553,0.5583553654920667,0.8552759500853542
B,Knee,2,5,0.01,4,0.3662868489621738,-0.42141981259919553,0.5583553654920667,-0.8552759500853542
B,Knee,2,5,0.01,5,-0.3805370238671873,0.0,0.3805370238671873,3.141592653589793
B,Knee,2,5,0.01,6,-0.1602613906615145,0.3718097071466672,0.4048779713262417,1.9777639046746291
B,Knee,2,5,0.01,7,-0.1602613906615145,-0.3718097071466672,0.4048779713262417,-1.9777639046746291
B,Knee,2,5,0.01,8,0.193538489448433,0.2924239650038796,0.35066924901760554,0.9861412533003037
B,Knee,2,5,0.01,9,0.193538489448433,-0.2924239650038796,0.35066924901760554,-0.9861412533003037
B,Knee,2,5,0.01,10,0.09328480582703218,0.0,0.09328480582703218,0.0
B,Knee,2,5,0.01,11,-0.0008743025141661605,0.0,0.0008743025141661605,3.141592653589793
B,Knee,2,5,0.01,12,-0.0002771348014649938,0.0008337415059055146,0.0008785946715366745,1.8917057009514
B,Knee,2,5,0.01,13,-0.0002771348014649938,-0.0008337415059055146,0.0008785946715366745,-1.8917057009514
B,Knee,2,5,0.01,14,0.0007142860407227051,0.0005235350996382131,0.0008856034939658446,0.6324987342860935
B,Knee,2,5,0.01,15,0.0007142860407227051,-0.0005235350996382131,0.0008856034939658446,-0.6324987342860935
C,Hip,1,0,0.0,0,0.23499848376066684,0.3078544172730617,0.3872965654435226,0.9188103091012655
C,Hip,1,0,0.0,1,0.23499848376066684,-0.3078544172730617,0.3872965654435226,-0.9188103091012655
C,Hip,1,0,0.0,2,0.9807101114020009,0.03284078933800663,0.9812598229064862,0.03347423640979116
C,Hip,1,0,0.0,3,0.9807101114020009,-0.03284078933800663,0.9812598229064862,-0.03347423640979116
C,Hip,1,0,0.0,4,0.7829027397244854,0.0,0.7829027397244854,0.0
C,Hip,1,0,0.0,5,0.19029091246171215,0.0,0.19029091246171215,0.0
C,Hip,1,1,0.002,0,0.9809137406883222,0.03376542352147184,0.9814947124140513,0.03440883264773369
C,Hip,1,1,0.002,1,0.9809137406883222,-0.03376542352147184,0.9814947124140513,-0.03440883264773369
C,Hip,1,1,0.002,2,0.7933407532602192,0.0,0.7933407532602192,0.0
C,Hip,1,1,0.002,3,0.23392832898509025,0.30851331739770776,0.38717299765543484,0.9220399906815281
C,Hip,1,1,0.002,4,0.23392832898509025,-0.30851331739770776,0.38717299765543484,-0.9220399906815281
C,Hip,1,1,0.002,5,0.18520450191072158,0.0,0.18520450191072158,0.0
C,Hip,1,1,0.002,6,-0.003618552006259612,0.0,0.003618552006259612,3.141592653589793
C,Hip,1,1,0.002,7,2.3363703900992134e-14,0.0,2.3363703900992134e-14,0.0
C,Hip,1,2,0.004,0,0.9811923716881512,0.0347421203119937,0.9818072545987793,0.03539327570893227
C,Hip,1,2,0.004,1,0.9811923716881512,-0.0347421203119937,0.9818072545987793,-0.03539327570893227
C,Hip,1,2,0.004,2,0.8057140076069201,0.0,0.8057140076069201,0.0
C,Hip,1,2,0.004,3,0.23336282575861644,0.31159715577911457,0.3892955123497831,0.9279837255061921
C,Hip,1,2,0.004,4,0.23336282575861644,-0.31159715577911457,0.3892955123497831,-0.9279837255061921
C,Hip,1,2,0.004,5,0.16107501542580763,0.0,0.16107501542580763,0.0
C,Hip,1,2,0.004,6,0.004355712292572157,0.0634872018188411,0.06363644415240315,1.5022959477663527
C,Hip,1,2,0.004,7,0.004355712292572157,-0.0634872018188411,0.06363644415240315,-1.5022959477663527
C,Hip,1,2,0.004,8,6.310240150315656e-14,1.0637320847279723e-07,1.0637320847281593e-07,1.5707957335778413
C,Hip,1,2,0.004,9,6.310240150315656e-14,-1.0637320847279723e-07,1.0637320847281593e-07,-1.5707957335778413
C,Hip,1,5,0.01,0,0.9826589379443085,0.03791186905059664,0.9833900030693549,0.038561777580575406
C,Hip,1,5,0.01,1,0.9826589379443085,-0.03791186905059664,0.9833900030693549,-0.038561777580575406
C,Hip,1,5,0.01,2,0.848641998502494,0.0,0.848641998502494,0.0
C,Hip,1,5,0.01,3,0.3366521109500578,0.34280355266427265,0.480467396944243,0.7944514011332328
C,Hip,1,5,0.01,4,0.3366521109500578,-0.34280355266427265,0.480467396944243,-0.7944514011332328
C,Hip,1,5,0.01,5,-0.318567116110977,0.0,0.318567116110977,3.141592653589793
