method,repeat,joint,signal,freq_hz,amp
pd,r01,Hip,delta_tau_est,60.44979079497908,0.030572061897138514
pd,r01,Hip,delta_tau_est,60.86610878661088,0.02955885890638186
pd,r01,Hip,delta_tau_est,61.28242677824268,0.017226961334323103
pd,r01,Hip,delta_tau_est,61.69874476987448,0.017334656803452766
pd,r01,Hip,delta_tau_est,62.11506276150628,0.022895574409752692
pd,r01,Hip,delta_tau_est,62.53138075313807,0.02346397327341469
pd,r01,Hip,delta_tau_est,62.94769874476987,0.021106463169336984
pd,r01,Hip,delta_tau_est,63.36401673640167,0.009363168156793712
pd,r01,Hip,delta_tau_est,63.78033472803347,0.004706631819506029
pd,r01,Hip,delta_tau_est,64.19665271966528,0.007451474112331097
pd,r01,Hip,delta_tau_est,64.61297071129707,0.012576726684032457
pd,r01,Hip,delta_tau_est,65.02928870292887,0.018494576661192065
pd,r01,Hip,delta_tau_est,65.44560669456067,0.025214179963613307
pd,r01,Hip,delta_tau_est,65.86192468619247,0.027830906246920528
pd,r01,Hip,delta_tau_est,66.27824267782427,0.02005557499065099
pd,r01,Hip,delta_tau_est,66.69456066945607,0.0163484663218254
pd,r01,Hip,delta_tau_est,67.11087866108787,0.01600104877435059
pd,r01,Hip,delta_tau_est,67.52719665271967,0.011660437076115557
pd,r01,Hip,delta_tau_est,67.94351464435147,0.0070583946370043026
pd,r01,Hip,delta_tau_est,68.35983263598327,0.010384269615945092
pd,r01,Hip,delta_tau_est,68.77615062761507,0.012730014239159315
pd,r01,Hip,delta_tau_est,69.19246861924687,0.013186719043499417
pd,r01,Hip,delta_tau_est,69.60878661087867,0.021644806287873422
pd,r01,Hip,delta_tau_est,70.02510460251047,0.03529976504426833
pd,r01,Hip,delta_tau_est,70.44142259414227,0.04199189888710639
pd,r01,Hip,delta_tau_est,70.85774058577405,0.04513890674229927
pd,r01,Hip,delta_tau_est,71.27405857740585,0.032256845488646366
pd,r01,Hip,delta_tau_est,71.69037656903765,0.021482289542684878
pd,r01,Hip,delta_tau_est,72.10669456066945,0.013866894187008493
pd,r01,Hip,delta_tau_est,72.52301255230125,0.009761964701007812
pd,r01,Hip,delta_tau_est,72.93933054393305,0.007427075619196975
pd,r01,Hip,delta_tau_est,73.35564853556485,0.011075384320379685
